  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T24                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.11056985E+01     0.14000796E+00     0.13000000E+02    -0.14031226E-01     0.99769419E+00     0.28306507E-01     0.13804118E+00      87     0.70922226E-01
-0.22000000E+02    -0.10340288E+01     0.12018924E+00     0.13000000E+02    -0.34161717E-01     0.99545491E+00     0.30861791E-01     0.11808741E+00      88     0.64354502E-01
-0.20500000E+02    -0.98251188E+00     0.10825272E+00     0.13000000E+02    -0.41920312E-01     0.54789752E+00     0.32234643E-01     0.10471918E+00      90     0.52246086E-01
-0.20000002E+02    -0.92855394E+00     0.10899915E+00     0.13000000E+02    -0.46624377E-01     0.51971686E+00     0.32711577E-01     0.10544457E+00      90     0.52246086E-01
-0.19000002E+02    -0.92058009E+00     0.96883111E-01     0.13000000E+02    -0.50301149E-01     0.50000001E-01     0.33976130E-01     0.92491403E-01      91     0.46763554E-01
-0.18500002E+02    -0.87661153E+00     0.96178517E-01     0.13000000E+02    -0.53649355E-01     0.50000001E-01     0.34803301E-01     0.91795348E-01      91     0.46763554E-01
-0.18000000E+02    -0.86023068E+00     0.92680298E-01     0.13000000E+02    -0.55875156E-01     0.50000001E-01     0.35280813E-01     0.88245541E-01      92     0.41686684E-01
-0.17500000E+02    -0.83798695E+00     0.90252057E-01     0.13000000E+02    -0.57540193E-01     0.50000001E-01     0.35872839E-01     0.85781485E-01      92     0.41686684E-01
-0.17000002E+02    -0.81976777E+00     0.87195650E-01     0.13000000E+02    -0.59563264E-01     0.50000001E-01     0.36377937E-01     0.82675941E-01      93     0.37020490E-01
-0.16500000E+02    -0.79617983E+00     0.84883429E-01     0.13000000E+02    -0.61114009E-01     0.50000001E-01     0.36999561E-01     0.80326602E-01      93     0.37020490E-01
-0.16000002E+02    -0.77639705E+00     0.82071945E-01     0.13000000E+02    -0.62932141E-01     0.50000001E-01     0.38077030E-01     0.77472664E-01      94     0.32759186E-01
-0.15500001E+02    -0.75485760E+00     0.79562858E-01     0.13000000E+02    -0.64587437E-01     0.50000001E-01     0.38819157E-01     0.74925721E-01      94     0.32759186E-01
-0.15000001E+02    -0.73092318E+00     0.77337168E-01     0.13000000E+02    -0.66028550E-01     0.50000001E-01     0.39459344E-01     0.72666481E-01      95     0.28887654E-01
-0.14500000E+02    -0.70989877E+00     0.74768983E-01     0.13000000E+02    -0.67678019E-01     0.50000001E-01     0.40193096E-01     0.70058614E-01      95     0.28887654E-01
-0.14000001E+02    -0.68274963E+00     0.72842821E-01     0.13000000E+02    -0.68860285E-01     0.50000001E-01     0.40922698E-01     0.68102479E-01      96     0.25384178E-01
-0.13500001E+02    -0.66116005E+00     0.70172943E-01     0.13000000E+02    -0.70368759E-01     0.50000001E-01     0.42238444E-01     0.65397307E-01      96     0.25384178E-01
-0.13000001E+02    -0.63407236E+00     0.68016924E-01     0.13000000E+02    -0.71488559E-01     0.50000001E-01     0.42963590E-01     0.63214704E-01      97     0.22222305E-01
-0.12500001E+02    -0.61123252E+00     0.65123811E-01     0.13000000E+02    -0.72838061E-01     0.50000001E-01     0.43768223E-01     0.60288027E-01      97     0.22222305E-01
-0.12000000E+02    -0.58825988E+00     0.62003057E-01     0.13000000E+02    -0.74153632E-01     0.50000001E-01     0.44576157E-01     0.57131659E-01      98     0.19374071E-01
-0.11500001E+02    -0.55995059E+00     0.59460856E-01     0.13000000E+02    -0.75059511E-01     0.50000001E-01     0.45519430E-01     0.54563634E-01      98     0.19374071E-01
-0.11000001E+02    -0.53772861E+00     0.55942971E-01     0.13000000E+02    -0.76269872E-01     0.50000001E-01     0.46929736E-01     0.51015876E-01      99     0.16811348E-01
-0.10500001E+02    -0.51518548E+00     0.52283518E-01     0.13000000E+02    -0.77397451E-01     0.50000001E-01     0.48001517E-01     0.47327336E-01      99     0.16811348E-01
-0.10000001E+02    -0.48782277E+00     0.49203023E-01     0.13000000E+02    -0.78164518E-01     0.50000001E-01     0.48984066E-01     0.44222884E-01     100     0.14507390E-01
-0.95000010E+01    -0.46522576E+00     0.45261070E-01     0.13000000E+02    -0.79181470E-01     0.50000001E-01     0.50000001E-01     0.40247489E-01     101     0.12437641E-01
