  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.98240077E+00     0.14811578E+00     0.12000000E+02    -0.11705159E-01     0.54673302E+00     0.25667273E-01     0.14463629E+00      89     0.67752108E-01
-0.23900000E+02    -0.97804874E+00     0.14744161E+00     0.12000000E+02    -0.12455260E-01     0.54498965E+00     0.25694253E-01     0.14395265E+00      89     0.67752108E-01
-0.23800001E+02    -0.97314197E+00     0.14680564E+00     0.12000000E+02    -0.13160469E-01     0.53142488E+00     0.25440617E-01     0.14327602E+00      89     0.67752108E-01
-0.23700001E+02    -0.96937549E+00     0.14600937E+00     0.12000000E+02    -0.14033841E-01     0.54888612E+00     0.25657814E-01     0.14251630E+00      89     0.67752108E-01
-0.23600000E+02    -0.96934420E+00     0.14452526E+00     0.12000000E+02    -0.15275606E-01     0.53758848E+00     0.26021108E-01     0.14099175E+00      89     0.67752108E-01
-0.23500000E+02    -0.96535653E+00     0.14369626E+00     0.12000000E+02    -0.16139142E-01     0.52356684E+00     0.26125228E-01     0.14012289E+00      89     0.67752108E-01
-0.23400002E+02    -0.96057355E+00     0.14306435E+00     0.12000000E+02    -0.16896294E-01     0.53333253E+00     0.25925159E-01     0.13950872E+00      89     0.67752108E-01
-0.23300001E+02    -0.95695788E+00     0.14239056E+00     0.12000000E+02    -0.17572660E-01     0.52160507E+00     0.26430089E-01     0.13880578E+00      89     0.67752108E-01
-0.23200001E+02    -0.95260608E+00     0.14174244E+00     0.12000000E+02    -0.18270491E-01     0.51998061E+00     0.26568362E-01     0.13815106E+00      89     0.67752108E-01
-0.23100000E+02    -0.94734782E+00     0.14112262E+00     0.12000000E+02    -0.18918481E-01     0.51680595E+00     0.26114894E-01     0.13751327E+00      89     0.67752108E-01
-0.23000002E+02    -0.94456738E+00     0.14032227E+00     0.12000000E+02    -0.19745344E-01     0.51734936E+00     0.27053982E-01     0.13671775E+00      89     0.67752108E-01
-0.22900002E+02    -0.94031006E+00     0.13969214E+00     0.12000000E+02    -0.20472053E-01     0.52374834E+00     0.27072804E-01     0.13609801E+00      89     0.67752108E-01
-0.22800001E+02    -0.93983102E+00     0.13831313E+00     0.12000000E+02    -0.21587551E-01     0.51110125E+00     0.27619570E-01     0.13468240E+00      90     0.60823578E-01
