  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T30                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      5.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.90166157E+00     0.16922197E+00     0.50000000E+01     0.10935541E-01     0.99318683E+00     0.44509202E-01     0.16687897E+00      87     0.64913616E-01
-0.23800001E+02    -0.89828408E+00     0.16853759E+00     0.50000000E+01     0.10198921E-01     0.99242055E+00     0.44947810E-01     0.16619408E+00      87     0.64913616E-01
-0.23700001E+02    -0.89326090E+00     0.16774604E+00     0.50000000E+01     0.91562299E-02     0.98933303E+00     0.45192033E-01     0.16539671E+00      88     0.58372140E-01
-0.23600000E+02    -0.88955629E+00     0.16612713E+00     0.50000000E+01     0.92663895E-02     0.59269226E+00     0.45008376E-01     0.16237935E+00      88     0.58372140E-01
-0.23100000E+02    -0.87228882E+00     0.16170201E+00     0.50000000E+01     0.45394134E-02     0.57201439E+00     0.46839356E-01     0.15787010E+00      88     0.58372140E-01
-0.23000002E+02    -0.86830783E+00     0.16107146E+00     0.50000000E+01     0.39040488E-02     0.56665313E+00     0.47182821E-01     0.15721819E+00      88     0.58372140E-01
-0.22900002E+02    -0.86535823E+00     0.16034529E+00     0.50000000E+01     0.29692848E-02     0.56700391E+00     0.48300385E-01     0.15650167E+00      88     0.58372140E-01
-0.22800001E+02    -0.86106634E+00     0.15960111E+00     0.50000000E+01     0.21882174E-02     0.56408763E+00     0.48460569E-01     0.15574236E+00      88     0.58372140E-01
-0.22700001E+02    -0.85640550E+00     0.15895516E+00     0.50000000E+01     0.13916114E-02     0.57059735E+00     0.48545100E-01     0.15511383E+00      88     0.58372140E-01
-0.22600002E+02    -0.85282737E+00     0.15812290E+00     0.50000000E+01     0.57115150E-03     0.54567438E+00     0.49112815E-01     0.15420672E+00      88     0.58372140E-01
-0.22500000E+02    -0.84794044E+00     0.15747494E+00     0.50000000E+01    -0.26968378E-03     0.56258446E+00     0.48665542E-01     0.15359423E+00      89     0.52287284E-01
-0.22300001E+02    -0.84336752E+00     0.15531987E+00     0.50000000E+01    -0.22101668E-02     0.54767460E+00     0.50000001E-01     0.15138742E+00      89     0.52287284E-01
-0.22200001E+02    -0.83846670E+00     0.15468942E+00     0.50000000E+01    -0.29622559E-02     0.54437828E+00     0.50000001E-01     0.15074447E+00      89     0.52287284E-01
-0.22100000E+02    -0.83358181E+00     0.15404856E+00     0.50000000E+01    -0.37129482E-02     0.53440905E+00     0.50000001E-01     0.15006530E+00      89     0.52287284E-01
-0.22000000E+02    -0.82856989E+00     0.15347221E+00     0.50000000E+01    -0.44164006E-02     0.54083431E+00     0.49951144E-01     0.14950342E+00      89     0.52287284E-01
-0.21900002E+02    -0.82400501E+00     0.15278645E+00     0.50000000E+01    -0.51028971E-02     0.53487289E+00     0.50000001E-01     0.14879313E+00      89     0.52287284E-01
-0.21800001E+02    -0.81896365E+00     0.15217945E+00     0.50000000E+01    -0.57941834E-02     0.52715933E+00     0.50000001E-01     0.14815986E+00      89     0.52287284E-01
-0.21700001E+02    -0.81423402E+00     0.15153068E+00     0.50000000E+01    -0.65302546E-02     0.53221297E+00     0.50000001E-01     0.14751755E+00      89     0.52287284E-01
-0.21600000E+02    -0.80983299E+00     0.15074196E+00     0.50000000E+01    -0.72577144E-02     0.51647818E+00     0.50000001E-01     0.14667645E+00      89     0.52287284E-01
-0.21500002E+02    -0.80609572E+00     0.14983380E+00     0.50000000E+01    -0.80556404E-02     0.52723312E+00     0.50000001E-01     0.14579090E+00      89     0.52287284E-01
-0.21400000E+02    -0.80312997E+00     0.14878105E+00     0.50000000E+01    -0.90485001E-02     0.51911032E+00     0.50000001E-01     0.14469986E+00      89     0.52287284E-01
-0.21300001E+02    -0.79631144E+00     0.14771840E+00     0.50000000E+01    -0.10039253E-01     0.50000001E-01     0.50000001E-01     0.14282319E+00      90     0.46679072E-01
-0.21200001E+02    -0.79133248E+00     0.14713709E+00     0.50000000E+01    -0.10744680E-01     0.50000001E-01     0.50000001E-01     0.14223139E+00      90     0.46679072E-01
-0.21100002E+02    -0.78647727E+00     0.14647785E+00     0.50000000E+01    -0.11393403E-01     0.50000001E-01     0.50000001E-01     0.14156137E+00      90     0.46679072E-01
-0.21000000E+02    -0.78161991E+00     0.14588474E+00     0.50000000E+01    -0.12018570E-01     0.50000001E-01     0.50000001E-01     0.14095849E+00      90     0.46679072E-01
-0.20900000E+02    -0.77648300E+00     0.14524756E+00     0.50000000E+01    -0.12703025E-01     0.50000001E-01     0.50000001E-01     0.14030969E+00      90     0.46679072E-01
-0.20800001E+02    -0.77165627E+00     0.14461870E+00     0.50000000E+01    -0.13359632E-01     0.50000001E-01     0.50000001E-01     0.13967092E+00      90     0.46679072E-01
-0.20700003E+02    -0.76656455E+00     0.14398895E+00     0.50000000E+01    -0.14053186E-01     0.50000001E-01     0.50000001E-01     0.13903044E+00      90     0.46679072E-01
-0.20600000E+02    -0.76197326E+00     0.14326790E+00     0.50000000E+01    -0.14754828E-01     0.50000001E-01     0.50000001E-01     0.13829708E+00      90     0.46679072E-01
-0.20500000E+02    -0.75765651E+00     0.14242792E+00     0.50000000E+01    -0.15516994E-01     0.50000001E-01     0.50000001E-01     0.13744448E+00      90     0.46679072E-01
-0.20400002E+02    -0.75436968E+00     0.14149010E+00     0.50000000E+01    -0.16328450E-01     0.50000001E-01     0.50000001E-01     0.13649118E+00      90     0.46679072E-01
-0.20300001E+02    -0.75001192E+00     0.14070883E+00     0.50000000E+01    -0.17051408E-01     0.50000001E-01     0.50000001E-01     0.13569820E+00      90     0.46679072E-01
-0.20200001E+02    -0.74500340E+00     0.14009902E+00     0.50000000E+01    -0.17696708E-01     0.50000001E-01     0.50000001E-01     0.13507703E+00      91     0.41550286E-01
-0.20100000E+02    -0.73991722E+00     0.13949740E+00     0.50000000E+01    -0.18306164E-01     0.50000001E-01     0.50000001E-01     0.13446587E+00      91     0.41550286E-01
-0.20000002E+02    -0.73465306E+00     0.13885969E+00     0.50000000E+01    -0.18978454E-01     0.50000001E-01     0.50000001E-01     0.13381748E+00      91     0.41550286E-01
-0.19900000E+02    -0.72966087E+00     0.13825907E+00     0.50000000E+01    -0.19571027E-01     0.50000001E-01     0.50000001E-01     0.13320667E+00      91     0.41550286E-01
