  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-211                      
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21500002E+02    -0.11985002E+01     0.11726647E+00     0.12000000E+02     0.21405306E-01     0.10000000E+01     0.63242130E-02     0.11502779E+00      96     0.73933594E-01
-0.19500000E+02    -0.11793799E+01     0.90973184E-01     0.12000000E+02     0.32338507E-02     0.10000000E+01     0.70189927E-02     0.88449717E-01      97     0.66774704E-01
-0.18500002E+02    -0.11665682E+01     0.79636313E-01     0.12000000E+02    -0.27769490E-02     0.87230080E+00     0.74458783E-02     0.76666735E-01      98     0.59881318E-01
-0.18000000E+02    -0.11428578E+01     0.75615659E-01     0.12000000E+02    -0.64809080E-02     0.79300499E+00     0.76282895E-02     0.72412960E-01      98     0.59881318E-01
-0.17500000E+02    -0.11368492E+01     0.69893524E-01     0.12000000E+02    -0.91901720E-02     0.76000208E+00     0.78457305E-02     0.66546053E-01      99     0.53278316E-01
-0.17000002E+02    -0.11259865E+01     0.65071747E-01     0.12000000E+02    -0.11268036E-01     0.73484284E+00     0.80283592E-02     0.61610058E-01      99     0.53278316E-01
-0.16500000E+02    -0.11126560E+01     0.60641795E-01     0.12000000E+02    -0.13071600E-01     0.71404874E+00     0.81823487E-02     0.57083484E-01      99     0.53278316E-01
-0.16000002E+02    -0.11002091E+01     0.56261938E-01     0.12000000E+02    -0.14700495E-01     0.69860506E+00     0.83360160E-02     0.52617498E-01      99     0.53278316E-01
-0.15500001E+02    -0.10919477E+01     0.51543947E-01     0.12000000E+02    -0.16353404E-01     0.68460625E+00     0.87910192E-02     0.47814399E-01     100     0.46995796E-01
-0.15000001E+02    -0.10807540E+01     0.47365081E-01     0.12000000E+02    -0.17654950E-01     0.66806793E+00     0.91335224E-02     0.43550722E-01     100     0.46995796E-01
-0.14500000E+02    -0.10689996E+01     0.43444283E-01     0.12000000E+02    -0.18665193E-01     0.65511835E+00     0.95129190E-02     0.39564200E-01     100     0.46995796E-01
-0.14000001E+02    -0.10564042E+01     0.39709218E-01     0.12000000E+02    -0.19595224E-01     0.64244127E+00     0.99314824E-02     0.35759948E-01     101     0.41069280E-01
-0.13500001E+02    -0.10457578E+01     0.35970639E-01     0.12000000E+02    -0.20418482E-01     0.62718308E+00     0.10063811E-01     0.31933352E-01     101     0.41069280E-01
