  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T33                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      6.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23300001E+02    -0.91274500E+00     0.16791461E+00     0.60000000E+01     0.18343762E-01     0.99963659E+00     0.71722656E-01     0.16581361E+00      85     0.54956943E-01
-0.23200001E+02    -0.90893322E+00     0.16715674E+00     0.60000000E+01     0.17367281E-01     0.99961513E+00     0.72557472E-01     0.16506568E+00      85     0.54956943E-01
-0.23100000E+02    -0.90280569E+00     0.16650431E+00     0.60000000E+01     0.16388467E-01     0.99957949E+00     0.72560132E-01     0.16440846E+00      85     0.54956943E-01
-0.23000002E+02    -0.89862651E+00     0.16585194E+00     0.60000000E+01     0.15599993E-01     0.99956596E+00     0.73151141E-01     0.16375981E+00      85     0.54956943E-01
-0.22400002E+02    -0.86812276E+00     0.16074325E+00     0.60000000E+01     0.90522114E-02     0.99935353E+00     0.75307101E-01     0.15862505E+00      86     0.49884733E-01
-0.22300001E+02    -0.86003923E+00     0.15999866E+00     0.60000000E+01     0.76869274E-02     0.99928051E+00     0.75380243E-01     0.15787278E+00      86     0.49884733E-01
-0.22200001E+02    -0.85704577E+00     0.15932015E+00     0.60000000E+01     0.70477575E-02     0.99925971E+00     0.76481439E-01     0.15720323E+00      86     0.49884733E-01
-0.22100000E+02    -0.84948128E+00     0.15856405E+00     0.60000000E+01     0.57508326E-02     0.99919641E+00     0.76410666E-01     0.15644068E+00      86     0.49884733E-01
-0.22000000E+02    -0.84442031E+00     0.15779269E+00     0.60000000E+01     0.46910280E-02     0.99914187E+00     0.77132307E-01     0.15567386E+00      86     0.49884733E-01
-0.21900002E+02    -0.83888209E+00     0.15701447E+00     0.60000000E+01     0.36300020E-02     0.99908715E+00     0.77250756E-01     0.15489438E+00      86     0.49884733E-01
-0.21500002E+02    -0.81938040E+00     0.15302078E+00     0.60000000E+01    -0.13172663E-02     0.99875635E+00     0.79460591E-01     0.15089458E+00      87     0.45182135E-01
-0.21400000E+02    -0.81255281E+00     0.15225051E+00     0.60000000E+01    -0.24882175E-02     0.99864006E+00     0.79980984E-01     0.15012550E+00      87     0.45182135E-01
-0.21300001E+02    -0.80493355E+00     0.15138213E+00     0.60000000E+01    -0.40474921E-02     0.99841362E+00     0.80525480E-01     0.14925635E+00      87     0.45182135E-01
-0.21200001E+02    -0.80052233E+00     0.15089571E+00     0.60000000E+01    -0.43786634E-02     0.99844861E+00     0.80574974E-01     0.14876759E+00      87     0.45182135E-01
-0.21100002E+02    -0.79143125E+00     0.15001656E+00     0.60000000E+01    -0.61046816E-02     0.99811602E+00     0.81322089E-01     0.14788695E+00      87     0.45182135E-01
-0.21000000E+02    -0.78627044E+00     0.14919634E+00     0.60000000E+01    -0.71600121E-02     0.99797052E+00     0.82174487E-01     0.14706731E+00      87     0.45182135E-01
-0.20900000E+02    -0.78069240E+00     0.14818549E+00     0.60000000E+01    -0.84890490E-02     0.99771738E+00     0.82906798E-01     0.14605641E+00      87     0.45182135E-01
-0.20700003E+02    -0.77030003E+00     0.14618166E+00     0.60000000E+01    -0.10879396E-01     0.99726039E+00     0.83241887E-01     0.14403445E+00      88     0.40837713E-01
