  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T33                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      9.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23100000E+02    -0.90418565E+00     0.16167013E+00     0.90000000E+01     0.83180591E-02     0.99916273E+00     0.69134966E-01     0.15971358E+00      85     0.54956943E-01
-0.23000002E+02    -0.89649916E+00     0.16090406E+00     0.90000000E+01     0.69857570E-02     0.99906898E+00     0.69579050E-01     0.15894522E+00      85     0.54956943E-01
-0.22900002E+02    -0.89209491E+00     0.16036995E+00     0.90000000E+01     0.64095301E-02     0.99906957E+00     0.69550231E-01     0.15840995E+00      85     0.54956943E-01
-0.22800001E+02    -0.88544011E+00     0.15959571E+00     0.90000000E+01     0.51640631E-02     0.99896389E+00     0.70115589E-01     0.15763314E+00      85     0.54956943E-01
-0.22700001E+02    -0.88102907E+00     0.15912428E+00     0.90000000E+01     0.46184305E-02     0.99896395E+00     0.70195198E-01     0.15716189E+00      85     0.54956943E-01
-0.22600002E+02    -0.87577975E+00     0.15835537E+00     0.90000000E+01     0.35315375E-02     0.99888426E+00     0.71119986E-01     0.15639713E+00      86     0.49884733E-01
-0.22500000E+02    -0.86669207E+00     0.15744343E+00     0.90000000E+01     0.17105981E-02     0.99860913E+00     0.71078844E-01     0.15547818E+00      86     0.49884733E-01
-0.20600000E+02    -0.76893586E+00     0.14188403E+00     0.90000000E+01    -0.16179347E-01     0.60939234E+00     0.79632096E-01     0.13857399E+00      88     0.40837713E-01
-0.20500000E+02    -0.76470333E+00     0.14120695E+00     0.90000000E+01    -0.16810380E-01     0.60065144E+00     0.80326445E-01     0.13786867E+00      88     0.40837713E-01
-0.20400002E+02    -0.75938982E+00     0.14057529E+00     0.90000000E+01    -0.17506385E-01     0.59992146E+00     0.80725662E-01     0.13723363E+00      88     0.40837713E-01
-0.20200001E+02    -0.75256693E+00     0.13862863E+00     0.90000000E+01    -0.19047474E-01     0.58143049E+00     0.81483744E-01     0.13521644E+00      88     0.40837713E-01
-0.20100000E+02    -0.74758208E+00     0.13803492E+00     0.90000000E+01    -0.19666443E-01     0.57674146E+00     0.81873588E-01     0.13460822E+00      88     0.40837713E-01
-0.20000002E+02    -0.74271065E+00     0.13736056E+00     0.90000000E+01    -0.20315012E-01     0.57099676E+00     0.82608320E-01     0.13391744E+00      88     0.40837713E-01
-0.19900000E+02    -0.73815483E+00     0.13675365E+00     0.90000000E+01    -0.20956296E-01     0.57148838E+00     0.83464779E-01     0.13331695E+00      88     0.40837713E-01
-0.19800001E+02    -0.73291945E+00     0.13620526E+00     0.90000000E+01    -0.21457767E-01     0.55728471E+00     0.83783321E-01     0.13272303E+00      89     0.36834702E-01
-0.19700001E+02    -0.72972065E+00     0.13550210E+00     0.90000000E+01    -0.22118116E-01     0.55386525E+00     0.85107252E-01     0.13202350E+00      89     0.36834702E-01
-0.19600000E+02    -0.72381443E+00     0.13486643E+00     0.90000000E+01    -0.22761256E-01     0.54989785E+00     0.85157722E-01     0.13137165E+00      89     0.36834702E-01
-0.19500000E+02    -0.71937084E+00     0.13420920E+00     0.90000000E+01    -0.23388969E-01     0.54969096E+00     0.85748307E-01     0.13071482E+00      89     0.36834702E-01
-0.19400002E+02    -0.71833974E+00     0.13273494E+00     0.90000000E+01    -0.24343396E-01     0.54319501E+00     0.86402699E-01     0.12921093E+00      89     0.36834702E-01
-0.19300001E+02    -0.71345115E+00     0.13214260E+00     0.90000000E+01    -0.24936993E-01     0.54151458E+00     0.86717717E-01     0.12860993E+00      89     0.36834702E-01
-0.19200001E+02    -0.70825112E+00     0.13153358E+00     0.90000000E+01    -0.25488166E-01     0.54043299E+00     0.87219402E-01     0.12799700E+00      89     0.36834702E-01
-0.19100000E+02    -0.70291924E+00     0.13090055E+00     0.90000000E+01    -0.26113838E-01     0.53741103E+00     0.88098265E-01     0.12735415E+00      89     0.36834702E-01
-0.19000002E+02    -0.69758528E+00     0.13030986E+00     0.90000000E+01    -0.26664123E-01     0.53037143E+00     0.88381231E-01     0.12674250E+00      89     0.36834702E-01
-0.18900002E+02    -0.69371963E+00     0.12964369E+00     0.90000000E+01    -0.27251722E-01     0.53052366E+00     0.90137362E-01     0.12608752E+00      89     0.36834702E-01
-0.18800001E+02    -0.68823850E+00     0.12910968E+00     0.90000000E+01    -0.27713250E-01     0.52518064E+00     0.90168148E-01     0.12553120E+00      90     0.33153079E-01
-0.18700001E+02    -0.68293017E+00     0.12848356E+00     0.90000000E+01    -0.28328177E-01     0.52129066E+00     0.90694450E-01     0.12489478E+00      90     0.33153079E-01
-0.18600000E+02    -0.67864907E+00     0.12778991E+00     0.90000000E+01    -0.28952586E-01     0.51887274E+00     0.91471851E-01     0.12419736E+00      90     0.33153079E-01
-0.18500002E+02    -0.67411470E+00     0.12708285E+00     0.90000000E+01    -0.29493950E-01     0.51725292E+00     0.91887027E-01     0.12348482E+00      90     0.33153079E-01
-0.18300001E+02    -0.66851163E+00     0.12494871E+00     0.90000000E+01    -0.30967496E-01     0.51332724E+00     0.93430467E-01     0.12133303E+00      90     0.33153079E-01
-0.18200001E+02    -0.66377914E+00     0.12436960E+00     0.90000000E+01    -0.31476568E-01     0.50873220E+00     0.94300471E-01     0.12073760E+00      90     0.33153079E-01
-0.18100002E+02    -0.65825373E+00     0.12378574E+00     0.90000000E+01    -0.32020733E-01     0.50860298E+00     0.95030427E-01     0.12015294E+00      90     0.33153079E-01
-0.18000000E+02    -0.65294099E+00     0.12320774E+00     0.90000000E+01    -0.32523237E-01     0.50650620E+00     0.95550820E-01     0.11956727E+00      90     0.33153079E-01
-0.17900000E+02    -0.64961398E+00     0.12244858E+00     0.90000000E+01    -0.33126879E-01     0.50409842E+00     0.97667649E-01     0.11881412E+00      91     0.29771008E-01
-0.17800001E+02    -0.64277995E+00     0.12195353E+00     0.90000000E+01    -0.33617675E-01     0.50181717E+00     0.97182207E-01     0.11830366E+00      91     0.29771008E-01
-0.17700001E+02    -0.63958710E+00     0.12120979E+00     0.90000000E+01    -0.34153588E-01     0.50026107E+00     0.98800927E-01     0.11756797E+00      91     0.29771008E-01
