  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.96990812E+00     0.14850938E+00     0.10000000E+02    -0.11587268E-01     0.58050793E+00     0.26437797E-01     0.14501791E+00      89     0.67752108E-01
-0.23800001E+02    -0.96489567E+00     0.14787509E+00     0.10000000E+02    -0.12275090E-01     0.57702905E+00     0.26183601E-01     0.14436944E+00      89     0.67752108E-01
-0.23600000E+02    -0.95742995E+00     0.14643762E+00     0.10000000E+02    -0.13856040E-01     0.55548096E+00     0.26827456E-01     0.14287561E+00      89     0.67752108E-01
-0.23400002E+02    -0.95263511E+00     0.14443047E+00     0.10000000E+02    -0.15874714E-01     0.56306070E+00     0.27700556E-01     0.14088202E+00      89     0.67752108E-01
-0.23300001E+02    -0.94928068E+00     0.14336209E+00     0.10000000E+02    -0.16774787E-01     0.53703994E+00     0.27249185E-01     0.13972981E+00      89     0.67752108E-01
-0.23200001E+02    -0.94548374E+00     0.14264140E+00     0.10000000E+02    -0.17537996E-01     0.53449374E+00     0.27424561E-01     0.13900097E+00      89     0.67752108E-01
-0.23100000E+02    -0.94125259E+00     0.14198148E+00     0.10000000E+02    -0.18249014E-01     0.54205674E+00     0.27498381E-01     0.13835436E+00      89     0.67752108E-01
-0.23000002E+02    -0.93806344E+00     0.14122000E+00     0.10000000E+02    -0.19050311E-01     0.53068495E+00     0.28169408E-01     0.13756803E+00      89     0.67752108E-01
-0.22900002E+02    -0.93371862E+00     0.14056687E+00     0.10000000E+02    -0.19758429E-01     0.53806037E+00     0.28346455E-01     0.13692945E+00      89     0.67752108E-01
-0.22800001E+02    -0.92941469E+00     0.13989088E+00     0.10000000E+02    -0.20453677E-01     0.52530313E+00     0.28444231E-01     0.13621548E+00      90     0.60823578E-01
-0.22700001E+02    -0.92481995E+00     0.13922690E+00     0.10000000E+02    -0.21152755E-01     0.52328151E+00     0.28407387E-01     0.13554160E+00      90     0.60823578E-01
-0.22600002E+02    -0.92025107E+00     0.13846608E+00     0.10000000E+02    -0.21897521E-01     0.52218252E+00     0.28112762E-01     0.13476738E+00      90     0.60823578E-01
-0.22500000E+02    -0.91810870E+00     0.13737252E+00     0.10000000E+02    -0.22896005E-01     0.52101046E+00     0.28288882E-01     0.13366199E+00      90     0.60823578E-01
-0.22400002E+02    -0.91512728E+00     0.13635735E+00     0.10000000E+02    -0.23789940E-01     0.51809877E+00     0.28446656E-01     0.13263179E+00      90     0.60823578E-01
-0.22300001E+02    -0.91159725E+00     0.13565785E+00     0.10000000E+02    -0.24452649E-01     0.51674527E+00     0.29211713E-01     0.13193001E+00      90     0.60823578E-01
-0.22200001E+02    -0.90717435E+00     0.13500914E+00     0.10000000E+02    -0.25092995E-01     0.51607400E+00     0.29316835E-01     0.13127562E+00      90     0.60823578E-01
-0.22100000E+02    -0.90175658E+00     0.13438393E+00     0.10000000E+02    -0.25807375E-01     0.51269865E+00     0.29016668E-01     0.13063194E+00      90     0.60823578E-01
-0.22000000E+02    -0.89739758E+00     0.13375214E+00     0.10000000E+02    -0.26406782E-01     0.50386214E+00     0.29212277E-01     0.12997693E+00      90     0.60823578E-01
-0.21900002E+02    -0.89294302E+00     0.13308197E+00     0.10000000E+02    -0.27097398E-01     0.50931633E+00     0.29554214E-01     0.12931618E+00      90     0.60823578E-01
-0.21800001E+02    -0.88878649E+00     0.13239266E+00     0.10000000E+02    -0.27710760E-01     0.50897729E+00     0.29610729E-01     0.12862125E+00      90     0.60823578E-01
-0.21700001E+02    -0.88481289E+00     0.13157156E+00     0.10000000E+02    -0.28456617E-01     0.50718343E+00     0.29634584E-01     0.12779045E+00      90     0.60823578E-01
-0.21600000E+02    -0.88324392E+00     0.13031235E+00     0.10000000E+02    -0.29488716E-01     0.49817175E+00     0.29878920E-01     0.12649320E+00      91     0.54339148E-01
-0.21500002E+02    -0.87816465E+00     0.12964517E+00     0.10000000E+02    -0.30122865E-01     0.49793157E+00     0.29494191E-01     0.12581602E+00      91     0.54339148E-01
-0.21400000E+02    -0.87483317E+00     0.12892534E+00     0.10000000E+02    -0.30746918E-01     0.50130892E+00     0.30226447E-01     0.12510851E+00      91     0.54339148E-01
-0.21300001E+02    -0.86997914E+00     0.12830409E+00     0.10000000E+02    -0.31352591E-01     0.49418744E+00     0.30231768E-01     0.12446585E+00      91     0.54339148E-01
-0.21200001E+02    -0.86651468E+00     0.12758327E+00     0.10000000E+02    -0.32010101E-01     0.49340624E+00     0.30883214E-01     0.12374744E+00      91     0.54339148E-01
-0.21100002E+02    -0.86237305E+00     0.12691730E+00     0.10000000E+02    -0.32615080E-01     0.49155948E+00     0.31257674E-01     0.12307596E+00      91     0.54339148E-01
-0.21000000E+02    -0.85775155E+00     0.12626989E+00     0.10000000E+02    -0.33201780E-01     0.48965359E+00     0.31316292E-01     0.12241907E+00      91     0.54339148E-01
-0.20800001E+02    -0.84838426E+00     0.12484862E+00     0.10000000E+02    -0.34449540E-01     0.48153016E+00     0.31096749E-01     0.12096321E+00      91     0.54339148E-01
-0.20700003E+02    -0.84652990E+00     0.12367254E+00     0.10000000E+02    -0.35398901E-01     0.48108858E+00     0.31173620E-01     0.11977237E+00      91     0.54339148E-01
-0.20600000E+02    -0.84316111E+00     0.12286638E+00     0.10000000E+02    -0.36011841E-01     0.47924912E+00     0.31744536E-01     0.11896206E+00      91     0.54339148E-01
-0.20500000E+02    -0.83837277E+00     0.12222345E+00     0.10000000E+02    -0.36609668E-01     0.48325068E+00     0.31979460E-01     0.11832633E+00      91     0.54339148E-01
-0.20400002E+02    -0.83213735E+00     0.12150014E+00     0.10000000E+02    -0.37331976E-01     0.50000001E-01     0.32221429E-01     0.11694094E+00      92     0.48335075E-01
-0.20300001E+02    -0.82726306E+00     0.12090269E+00     0.10000000E+02    -0.37886154E-01     0.50000001E-01     0.32365154E-01     0.11633611E+00      92     0.48335075E-01
-0.20200001E+02    -0.82209963E+00     0.12031057E+00     0.10000000E+02    -0.38416401E-01     0.50000001E-01     0.32215189E-01     0.11573425E+00      92     0.48335075E-01
-0.20100000E+02    -0.81681639E+00     0.11968859E+00     0.10000000E+02    -0.38957346E-01     0.50000001E-01     0.32041740E-01     0.11510219E+00      92     0.48335075E-01
-0.20000002E+02    -0.81257713E+00     0.11907987E+00     0.10000000E+02    -0.39527245E-01     0.50000001E-01     0.32546319E-01     0.11448894E+00      92     0.48335075E-01
-0.19900000E+02    -0.80761105E+00     0.11838022E+00     0.10000000E+02    -0.40073689E-01     0.50000001E-01     0.32223344E-01     0.11377665E+00      92     0.48335075E-01
-0.19800001E+02    -0.80520958E+00     0.11736595E+00     0.10000000E+02    -0.40826935E-01     0.50000001E-01     0.33231825E-01     0.11275785E+00      92     0.48335075E-01
