  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      5.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.93936127E+00     0.15486819E+00     0.50000000E+01    -0.65996908E-02     0.99596977E+00     0.29989453E-01     0.15246977E+00      89     0.67752108E-01
-0.23800001E+02    -0.93616194E+00     0.15427293E+00     0.50000000E+01    -0.68778321E-02     0.99613994E+00     0.29542560E-01     0.15186201E+00      89     0.67752108E-01
-0.23700001E+02    -0.93331587E+00     0.15348032E+00     0.50000000E+01    -0.76491544E-02     0.99615991E+00     0.29929290E-01     0.15107074E+00      89     0.67752108E-01
-0.23600000E+02    -0.92940247E+00     0.15254153E+00     0.50000000E+01    -0.88898409E-02     0.99605316E+00     0.30599082E-01     0.15013434E+00      89     0.67752108E-01
-0.23500000E+02    -0.92090702E+00     0.15164673E+00     0.50000000E+01    -0.10504961E-01     0.99567753E+00     0.29995285E-01     0.14922079E+00      89     0.67752108E-01
-0.23400002E+02    -0.91775888E+00     0.15073529E+00     0.50000000E+01    -0.11636033E-01     0.99559253E+00     0.30673420E-01     0.14831315E+00      89     0.67752108E-01
-0.23300001E+02    -0.91401619E+00     0.14979325E+00     0.50000000E+01    -0.12711943E-01     0.99549651E+00     0.30795222E-01     0.14736518E+00      89     0.67752108E-01
-0.23200001E+02    -0.91170090E+00     0.14864221E+00     0.50000000E+01    -0.13800999E-01     0.99544322E+00     0.30964663E-01     0.14620215E+00      90     0.60823578E-01
-0.23100000E+02    -0.90714657E+00     0.14759420E+00     0.50000000E+01    -0.14951083E-01     0.99427408E+00     0.30808840E-01     0.14514279E+00      90     0.60823578E-01
-0.23000002E+02    -0.90335619E+00     0.14683680E+00     0.50000000E+01    -0.15826572E-01     0.99527210E+00     0.31198869E-01     0.14438413E+00      90     0.60823578E-01
-0.22900002E+02    -0.89994884E+00     0.14613706E+00     0.50000000E+01    -0.16343446E-01     0.99394161E+00     0.31443428E-01     0.14368279E+00      90     0.60823578E-01
-0.22800001E+02    -0.89602143E+00     0.14537713E+00     0.50000000E+01    -0.17023737E-01     0.99189478E+00     0.31563718E-01     0.14291747E+00      90     0.60823578E-01
-0.22700001E+02    -0.89204103E+00     0.14468357E+00     0.50000000E+01    -0.17736604E-01     0.99269193E+00     0.31758547E-01     0.14222132E+00      90     0.60823578E-01
-0.22600002E+02    -0.88845080E+00     0.14386307E+00     0.50000000E+01    -0.18566461E-01     0.99278563E+00     0.32356501E-01     0.14139992E+00      90     0.60823578E-01
-0.22500000E+02    -0.88414282E+00     0.14302450E+00     0.50000000E+01    -0.19437911E-01     0.99087381E+00     0.32211263E-01     0.14055105E+00      90     0.60823578E-01
-0.22400002E+02    -0.88092673E+00     0.14197397E+00     0.50000000E+01    -0.20437926E-01     0.99052495E+00     0.32525986E-01     0.13949192E+00      90     0.60823578E-01
-0.22300001E+02    -0.87708712E+00     0.14094834E+00     0.50000000E+01    -0.21467032E-01     0.99005634E+00     0.32364376E-01     0.13845389E+00      90     0.60823578E-01
-0.22200001E+02    -0.87302017E+00     0.14024250E+00     0.50000000E+01    -0.22116443E-01     0.98797232E+00     0.32649126E-01     0.13774271E+00      90     0.60823578E-01
-0.22100000E+02    -0.86760318E+00     0.13896070E+00     0.50000000E+01    -0.22448923E-01     0.57968187E+00     0.32641668E-01     0.13502726E+00      90     0.60823578E-01
-0.22000000E+02    -0.86397326E+00     0.13826764E+00     0.50000000E+01    -0.23120629E-01     0.59171396E+00     0.33252221E-01     0.13436815E+00      90     0.60823578E-01
-0.21900002E+02    -0.85870796E+00     0.13760629E+00     0.50000000E+01    -0.23815066E-01     0.57125819E+00     0.32859012E-01     0.13364096E+00      91     0.54339148E-01
-0.21800001E+02    -0.85553837E+00     0.13687393E+00     0.50000000E+01    -0.24495790E-01     0.58069152E+00     0.33424683E-01     0.13293207E+00      91     0.54339148E-01
-0.21700001E+02    -0.85138619E+00     0.13611251E+00     0.50000000E+01    -0.25227595E-01     0.56469816E+00     0.33736452E-01     0.13212234E+00      91     0.54339148E-01
-0.21600000E+02    -0.84645623E+00     0.13537937E+00     0.50000000E+01    -0.25935872E-01     0.56124973E+00     0.33281770E-01     0.13136676E+00      91     0.54339148E-01
-0.21500002E+02    -0.84347367E+00     0.13438047E+00     0.50000000E+01    -0.26798356E-01     0.57024270E+00     0.33464700E-01     0.13038531E+00      91     0.54339148E-01
-0.21400000E+02    -0.84145784E+00     0.13338067E+00     0.50000000E+01    -0.27644206E-01     0.55386400E+00     0.34082305E-01     0.12933594E+00      91     0.54339148E-01
-0.21300001E+02    -0.83704370E+00     0.13269576E+00     0.50000000E+01    -0.28305177E-01     0.55183256E+00     0.34234509E-01     0.12864242E+00      91     0.54339148E-01
-0.21200001E+02    -0.83247209E+00     0.13203725E+00     0.50000000E+01    -0.28953157E-01     0.55937827E+00     0.34331165E-01     0.12800357E+00      91     0.54339148E-01
-0.21100002E+02    -0.82815117E+00     0.13135925E+00     0.50000000E+01    -0.29587401E-01     0.54562992E+00     0.34525421E-01     0.12728320E+00      91     0.54339148E-01
-0.21000000E+02    -0.82433450E+00     0.13063872E+00     0.50000000E+01    -0.30245239E-01     0.54345375E+00     0.35103027E-01     0.12655735E+00      91     0.54339148E-01
-0.20900000E+02    -0.81914765E+00     0.13000730E+00     0.50000000E+01    -0.30859912E-01     0.53254896E+00     0.34859043E-01     0.12588464E+00      91     0.54339148E-01
-0.20800001E+02    -0.81513691E+00     0.12925333E+00     0.50000000E+01    -0.31531282E-01     0.53796071E+00     0.35046436E-01     0.12513907E+00      91     0.54339148E-01
-0.20700003E+02    -0.80990010E+00     0.12820548E+00     0.50000000E+01    -0.32468498E-01     0.50000001E-01     0.35547130E-01     0.12325474E+00      92     0.48335075E-01
-0.20600000E+02    -0.80628699E+00     0.12730482E+00     0.50000000E+01    -0.33195324E-01     0.50000001E-01     0.35215106E-01     0.12233544E+00      92     0.48335075E-01
-0.20500000E+02    -0.80278575E+00     0.12647167E+00     0.50000000E+01    -0.33954095E-01     0.50000001E-01     0.35833552E-01     0.12149587E+00      92     0.48335075E-01
-0.20400002E+02    -0.79782355E+00     0.12590069E+00     0.50000000E+01    -0.34519337E-01     0.50000001E-01     0.35632383E-01     0.12091218E+00      92     0.48335075E-01
-0.20300001E+02    -0.79308206E+00     0.12521684E+00     0.50000000E+01    -0.35115667E-01     0.50000001E-01     0.35773411E-01     0.12021878E+00      92     0.48335075E-01
-0.20200001E+02    -0.78849518E+00     0.12457373E+00     0.50000000E+01    -0.35701297E-01     0.50000001E-01     0.36097899E-01     0.11956763E+00      92     0.48335075E-01
-0.20100000E+02    -0.78404194E+00     0.12390664E+00     0.50000000E+01    -0.36299776E-01     0.50000001E-01     0.36775790E-01     0.11889245E+00      92     0.48335075E-01
-0.20000002E+02    -0.77901661E+00     0.12327209E+00     0.50000000E+01    -0.36871247E-01     0.50000001E-01     0.36403812E-01     0.11824695E+00      92     0.48335075E-01
-0.19900000E+02    -0.77532387E+00     0.12254834E+00     0.50000000E+01    -0.37471969E-01     0.50000001E-01     0.37178472E-01     0.11751926E+00      92     0.48335075E-01
-0.19800001E+02    -0.77155787E+00     0.12172177E+00     0.50000000E+01    -0.38149077E-01     0.50000001E-01     0.37488218E-01     0.11668499E+00      92     0.48335075E-01
-0.19700001E+02    -0.76732534E+00     0.12082969E+00     0.50000000E+01    -0.38855363E-01     0.50000001E-01     0.36974322E-01     0.11577120E+00      92     0.48335075E-01
-0.19600000E+02    -0.76437581E+00     0.12002903E+00     0.50000000E+01    -0.39522968E-01     0.50000001E-01     0.37606910E-01     0.11496706E+00      92     0.48335075E-01
-0.19500000E+02    -0.75967056E+00     0.11934333E+00     0.50000000E+01    -0.40057220E-01     0.50000001E-01     0.37830684E-01     0.11427317E+00      92     0.48335075E-01
-0.19400002E+02    -0.75423247E+00     0.11877010E+00     0.50000000E+01    -0.40576577E-01     0.50000001E-01     0.37386749E-01     0.11368402E+00      93     0.42829528E-01
-0.19300001E+02    -0.75060606E+00     0.11804925E+00     0.50000000E+01    -0.41165542E-01     0.50000001E-01     0.38229790E-01     0.11296578E+00      93     0.42829528E-01
-0.19200001E+02    -0.74593216E+00     0.11740332E+00     0.50000000E+01    -0.41707024E-01     0.50000001E-01     0.38437981E-01     0.11231279E+00      93     0.42829528E-01
-0.19100000E+02    -0.74112278E+00     0.11676981E+00     0.50000000E+01    -0.42233132E-01     0.50000001E-01     0.38558159E-01     0.11167024E+00      93     0.42829528E-01
