  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W1-182                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.12720722E+01     0.10641314E+00     0.12000000E+02     0.82755331E-02     0.65717721E+00     0.44109644E-02     0.10363972E+00      99     0.80562294E-01
-0.21000000E+02    -0.13273304E+01     0.81999376E-01     0.12000000E+02    -0.11658439E-01     0.64016312E+00     0.45981328E-02     0.78858949E-01      99     0.80562294E-01
-0.20500000E+02    -0.13281730E+01     0.74312314E-01     0.12000000E+02    -0.18762276E-01     0.63354903E+00     0.46566161E-02     0.71059152E-01      99     0.80562294E-01
-0.20000002E+02    -0.13516942E+01     0.64712249E-01     0.12000000E+02    -0.24661027E-01     0.62251258E+00     0.47295545E-02     0.61292451E-01      99     0.80562294E-01
-0.19500000E+02    -0.13696982E+01     0.56579705E-01     0.12000000E+02    -0.29066728E-01     0.61131042E+00     0.47124340E-02     0.53005286E-01      99     0.80562294E-01
-0.19000002E+02    -0.13875879E+01     0.49312487E-01     0.12000000E+02    -0.32236468E-01     0.61028200E+00     0.47915024E-02     0.45612570E-01     100     0.73150650E-01
-0.18500002E+02    -0.14073809E+01     0.42712882E-01     0.12000000E+02    -0.34262531E-01     0.60005760E+00     0.48500784E-02     0.38868506E-01     100     0.73150650E-01
-0.18000000E+02    -0.14216104E+01     0.37212525E-01     0.12000000E+02    -0.35070855E-01     0.59477407E+00     0.48489268E-02     0.33249401E-01     100     0.73150650E-01
-0.17500000E+02    -0.14301409E+01     0.32262772E-01     0.12000000E+02    -0.35530280E-01     0.58006740E+00     0.49018539E-02     0.28165296E-01     100     0.73150650E-01
-0.17000002E+02    -0.14299457E+01     0.27984850E-01     0.12000000E+02    -0.35806220E-01     0.57417804E+00     0.49583777E-02     0.23788372E-01     100     0.73150650E-01
-0.16500000E+02    -0.14254973E+01     0.24084382E-01     0.12000000E+02    -0.35897698E-01     0.56679177E+00     0.52061225E-02     0.19792097E-01     101     0.65955386E-01
-0.16000002E+02    -0.14078734E+01     0.21246457E-01     0.12000000E+02    -0.36030497E-01     0.55734426E+00     0.49441941E-02     0.16859256E-01     101     0.65955386E-01
-0.15500001E+02    -0.14174578E+01     0.18033603E-01     0.12000000E+02    -0.35236213E-01     0.55284560E+00     0.52441955E-02     0.13487061E-01     101     0.65955386E-01
-0.15000001E+02    -0.13958356E+01     0.15658520E-01     0.12000000E+02    -0.36113042E-01     0.54282522E+00     0.53666071E-02     0.10982608E-01     102     0.58993574E-01
-0.14500000E+02    -0.13518498E+01     0.14629852E-01     0.12000000E+02    -0.36124904E-01     0.53657985E+00     0.55217757E-02     0.99060442E-02     102     0.58993574E-01
-0.14000001E+02    -0.13036168E+01     0.13806265E-01     0.12000000E+02    -0.36226612E-01     0.52671528E+00     0.56871572E-02     0.90364721E-02     102     0.58993574E-01
-0.13500001E+02    -0.12528981E+01     0.13086394E-01     0.12000000E+02    -0.36430966E-01     0.52072471E+00     0.58463099E-02     0.82788914E-02     103     0.52288726E-01
-0.13000001E+02    -0.12004704E+01     0.12440888E-01     0.12000000E+02    -0.36738951E-01     0.51155794E+00     0.60223895E-02     0.75962050E-02     103     0.52288726E-01
-0.12500001E+02    -0.11451212E+01     0.12517464E-01     0.12000000E+02    -0.37873790E-01     0.50000001E-01     0.62370114E-02     0.69687017E-02     104     0.45874026E-01
-0.12000000E+02    -0.10906084E+01     0.11993310E-01     0.12000000E+02    -0.38310997E-01     0.50000001E-01     0.64618657E-02     0.64085987E-02     104     0.45874026E-01
-0.11500001E+02    -0.10352993E+01     0.11493037E-01     0.12000000E+02    -0.38824450E-01     0.50000001E-01     0.69284090E-02     0.58762482E-02     105     0.39794307E-01
-0.11000001E+02    -0.97893381E+00     0.11074207E-01     0.12000000E+02    -0.39412301E-01     0.50000001E-01     0.72047431E-02     0.54239822E-02     105     0.39794307E-01
-0.10500001E+02    -0.92188704E+00     0.10697866E-01     0.12000000E+02    -0.40060978E-01     0.50000001E-01     0.74923011E-02     0.50120479E-02     106     0.34105647E-01
-0.10000001E+02    -0.86430007E+00     0.10348676E-01     0.12000000E+02    -0.40762335E-01     0.50000001E-01     0.78569008E-02     0.46322155E-02     106     0.34105647E-01
-0.95000010E+01    -0.80625856E+00     0.10023358E-01     0.12000000E+02    -0.41514717E-01     0.50000001E-01     0.82180137E-02     0.42781481E-02     107     0.28869446E-01
-0.90000000E+01    -0.74780154E+00     0.97226780E-02     0.12000000E+02    -0.42313423E-01     0.50000001E-01     0.86739697E-02     0.39524171E-02     107     0.28869446E-01
-0.85000019E+01    -0.68895662E+00     0.94533395E-02     0.12000000E+02    -0.43156344E-01     0.50000001E-01     0.94566531E-02     0.36572888E-02     108     0.24140084E-01
-0.80000010E+01    -0.62974101E+00     0.92208749E-02     0.12000000E+02    -0.44030063E-01     0.50000001E-01     0.99424468E-02     0.33986783E-02     109     0.19950083E-01
-0.75000005E+01    -0.57027531E+00     0.90022339E-02     0.12000000E+02    -0.44941280E-01     0.50000001E-01     0.10520020E-01     0.31592338E-02     109     0.19950083E-01
-0.70000014E+01    -0.51055717E+00     0.88091837E-02     0.12000000E+02    -0.45883190E-01     0.50000001E-01     0.11277577E-01     0.29456271E-02     110     0.16301138E-01
-0.65000010E+01    -0.45062447E+00     0.86404243E-02     0.12000000E+02    -0.46850663E-01     0.50000001E-01     0.12344967E-01     0.27568727E-02     110     0.16301138E-01
-0.60000000E+01    -0.39051971E+00     0.84876418E-02     0.12000000E+02    -0.47843717E-01     0.50000001E-01     0.13263174E-01     0.25877124E-02     111     0.13165612E-01
-0.55000014E+01    -0.33026350E+00     0.83626313E-02     0.12000000E+02    -0.48856545E-01     0.50000001E-01     0.14289008E-01     0.24452070E-02     112     0.10496487E-01
-0.50000010E+01    -0.26989171E+00     0.82471343E-02     0.12000000E+02    -0.49892128E-01     0.50000001E-01     0.15933672E-01     0.23172810E-02     112     0.10496487E-01
-0.45000000E+01    -0.20941927E+00     0.81576705E-02     0.12000000E+02    -0.50938990E-01     0.50000001E-01     0.17341994E-01     0.22138786E-02     113     0.82392823E-02
-0.40000014E+01    -0.14888428E+00     0.80772899E-02     0.12000000E+02    -0.52005865E-01     0.50000001E-01     0.19621277E-01     0.21246811E-02     114     0.63413130E-02
-0.35000007E+01    -0.88298246E-01     0.80244541E-02     0.12000000E+02    -0.53076524E-01     0.50000001E-01     0.21547856E-01     0.20585712E-02     115     0.47564819E-02
-0.30000000E+01    -0.27681291E-01     0.79764016E-02     0.12000000E+02    -0.54164767E-01     0.50000001E-01     0.24660356E-01     0.20074989E-02     115     0.47564819E-02
-0.25000012E+01     0.32932401E-01     0.79515167E-02     0.12000000E+02    -0.55253111E-01     0.50000001E-01     0.27486715E-01     0.19750977E-02     116     0.34466502E-02
-0.20000007E+01     0.93533918E-01     0.79352176E-02     0.12000000E+02    -0.56351088E-01     0.50000001E-01     0.32206733E-01     0.19574128E-02     117     0.23818165E-02
-0.15000000E+01     0.15411207E+00     0.79302108E-02     0.12000000E+02    -0.57456035E-01     0.50000001E-01     0.38482174E-01     0.19556028E-02     118     0.15381594E-02
-0.10000012E+01     0.21464381E+00     0.79359999E-02     0.12000000E+02    -0.58564954E-01     0.50000001E-01     0.46841018E-01     0.19692681E-02     119     0.89625764E-03
-0.50000060E+00     0.27505925E+00     0.79780230E-02     0.12000000E+02    -0.59649341E-01     0.50000001E-01     0.50000001E-01     0.20022946E-02     120     0.44016531E-03
 0.00000000E+00     0.33536226E+00     0.80393096E-02     0.12000000E+02    -0.60721871E-01     0.50000001E-01     0.50000001E-01     0.20504938E-02     121     0.15225253E-03
 0.49999887E+00     0.39555186E+00     0.81112534E-02     0.12000000E+02    -0.61790187E-01     0.50000001E-01     0.50000001E-01     0.21115732E-02     122     0.14140136E-04
 0.99999946E+00     0.45560870E+00     0.81940275E-02     0.12000000E+02    -0.62851973E-01     0.50000001E-01     0.50000001E-01     0.21857307E-02     123     0.25446141E-04
 0.14999983E+01     0.51552641E+00     0.82877297E-02     0.12000000E+02    -0.63904621E-01     0.50000001E-01     0.50000001E-01     0.22728029E-02     123     0.25446141E-04
 0.19999989E+01     0.57527649E+00     0.83925491E-02     0.12000000E+02    -0.64945661E-01     0.50000001E-01     0.50000001E-01     0.23731249E-02     124     0.21317168E-03
 0.24999995E+01     0.63484401E+00     0.85085751E-02     0.12000000E+02    -0.65972984E-01     0.50000001E-01     0.50000001E-01     0.24868739E-02     125     0.60581573E-03
 0.29999983E+01     0.69420451E+00     0.86361300E-02     0.12000000E+02    -0.66983268E-01     0.50000001E-01     0.50000001E-01     0.26143012E-02     126     0.12035047E-02
 0.34999990E+01     0.75334662E+00     0.87755285E-02     0.12000000E+02    -0.67974083E-01     0.50000001E-01     0.50000001E-01     0.27557286E-02     127     0.20117848E-02
 0.39999995E+01     0.81224251E+00     0.89270454E-02     0.12000000E+02    -0.68942875E-01     0.50000001E-01     0.50000001E-01     0.29114350E-02     128     0.30339886E-02
 0.44999986E+01     0.87086314E+00     0.90911975E-02     0.12000000E+02    -0.69885090E-01     0.50000001E-01     0.50000001E-01     0.30819145E-02     129     0.42762882E-02
 0.49999990E+01     0.92918795E+00     0.92683760E-02     0.12000000E+02    -0.70797622E-01     0.50000001E-01     0.50000001E-01     0.32667900E-02     129     0.42762882E-02
 0.54999995E+01     0.98717940E+00     0.94591100E-02     0.12000000E+02    -0.71676627E-01     0.50000001E-01     0.50000001E-01     0.34681712E-02     130     0.57489104E-02
 0.60000000E+01     0.10448098E+01     0.96640289E-02     0.12000000E+02    -0.72517335E-01     0.50000001E-01     0.50000001E-01     0.36860239E-02     131     0.74675684E-02
 0.65000010E+01     0.11020383E+01     0.98839421E-02     0.12000000E+02    -0.73314264E-01     0.50000001E-01     0.50000001E-01     0.39211502E-02     132     0.94559845E-02
 0.69999981E+01     0.11560179E+01     0.10420581E-01     0.12000000E+02    -0.73717386E-01     0.31662811E-01     0.50000001E-01     0.43868371E-02     133     0.11747451E-01
 0.74999986E+01     0.12100145E+01     0.10881417E-01     0.12000000E+02    -0.74116886E-01     0.22468118E-01     0.50000001E-01     0.48160716E-02     133     0.11747451E-01
 0.79999990E+01     0.12637557E+01     0.11302112E-01     0.12000000E+02    -0.74485712E-01     0.18491019E-01     0.50000001E-01     0.52302121E-02     134     0.14387238E-01
 0.85000000E+01     0.13161116E+01     0.11780552E-01     0.12000000E+02    -0.74680045E-01     0.14601977E-01     0.50000001E-01     0.57016779E-02     135     0.17435061E-01
 0.90000000E+01     0.13675675E+01     0.12259669E-01     0.12000000E+02    -0.74760333E-01     0.12613666E-01     0.50000001E-01     0.61851949E-02     135     0.17435061E-01
 0.94999971E+01     0.14172211E+01     0.12793235E-01     0.12000000E+02    -0.74609376E-01     0.11196584E-01     0.50000001E-01     0.67266813E-02     136     0.20967286E-01
 0.99999981E+01     0.14643968E+01     0.13395681E-01     0.12000000E+02    -0.74136838E-01     0.95104687E-02     0.50000001E-01     0.73411828E-02     137     0.25077445E-01
 0.10499999E+02     0.15080690E+01     0.14079301E-01     0.12000000E+02    -0.73204115E-01     0.86361021E-02     0.50000001E-01     0.80416519E-02     137     0.25077445E-01
 0.10999999E+02     0.15340602E+01     0.15004287E-01     0.12000000E+02    -0.69604136E-01     0.79664616E-02     0.50000001E-01     0.90090521E-02     137     0.25077445E-01
 0.11500000E+02     0.15576931E+01     0.16593451E-01     0.12000000E+02    -0.67256868E-01     0.75207651E-02     0.50000001E-01     0.10663245E-01     138     0.29870667E-01
 0.12000000E+02     0.15717387E+01     0.19051243E-01     0.12000000E+02    -0.64987451E-01     0.67675239E-02     0.50000001E-01     0.13197536E-01     138     0.29870667E-01
 0.12499997E+02     0.15797492E+01     0.22333544E-01     0.12000000E+02    -0.63255936E-01     0.64332276E-02     0.50000001E-01     0.16573461E-01     139     0.35449404E-01
 0.12999998E+02     0.15784224E+01     0.26688788E-01     0.12000000E+02    -0.61819635E-01     0.61112712E-02     0.50000001E-01     0.21037685E-01     139     0.35449404E-01
 0.13499999E+02     0.15673808E+01     0.32024186E-01     0.12000000E+02    -0.60443915E-01     0.59371837E-02     0.50000001E-01     0.26493382E-01     139     0.35449404E-01
 0.13999999E+02     0.15419543E+01     0.38426057E-01     0.12000000E+02    -0.58720723E-01     0.58154725E-02     0.50000001E-01     0.33033006E-01     139     0.35449404E-01
 0.14500000E+02     0.15073501E+01     0.45474589E-01     0.12000000E+02    -0.56950662E-01     0.56985915E-02     0.50000001E-01     0.40227175E-01     139     0.35449404E-01
 0.15000001E+02     0.14802009E+01     0.52370459E-01     0.12000000E+02    -0.56161121E-01     0.56289937E-02     0.50000001E-01     0.47255374E-01     139     0.35449404E-01
 0.15499998E+02     0.14585673E+01     0.59448931E-01     0.12000000E+02    -0.56373559E-01     0.54859472E-02     0.50000001E-01     0.54457493E-01     139     0.35449404E-01
 0.15999998E+02     0.14456465E+01     0.66084012E-01     0.12000000E+02    -0.57160761E-01     0.52898126E-02     0.50000001E-01     0.61200328E-01     140     0.41883077E-01
 0.16499998E+02     0.14355789E+01     0.72815180E-01     0.12000000E+02    -0.58515023E-01     0.48879827E-02     0.50000001E-01     0.68030998E-01     140     0.41883077E-01
 0.17000000E+02     0.14300483E+01     0.79345092E-01     0.12000000E+02    -0.60343213E-01     0.47495654E-02     0.50000001E-01     0.74659459E-01     140     0.41883077E-01
 0.17500000E+02     0.14259454E+01     0.85939474E-01     0.12000000E+02    -0.62666327E-01     0.43539461E-02     0.50000001E-01     0.81344895E-01     140     0.41883077E-01
 0.18000000E+02     0.14396775E+01     0.91853090E-01     0.12000000E+02    -0.67081124E-01     0.43742899E-02     0.66572213E+00     0.88082552E-01     141     0.49170922E-01
 0.18499998E+02     0.14394825E+01     0.98322667E-01     0.12000000E+02    -0.70086546E-01     0.42989901E-02     0.66960549E+00     0.94639741E-01     141     0.49170922E-01
